"","long","lat","freq","NEAR_DIST","hour"
"1",121.353467714,31.1347751786,4129,2326.41803112,5
"2",121.364391143,31.1347751786,6213,2429.9119686,5
"3",121.375314571,31.1347751786,5699,2043.41681217,5
"4",121.386238,31.1347751786,7401,1233.50271919,5
"5",121.397161429,31.1347751786,6818,423.406066167,5
"6",121.408084857,31.1347751786,10403,395.153713409,5
"7",121.419008286,31.1347751786,14401,1213.65008389,5
"8",121.429931714,31.1347751786,12083,1994.4381993,5
"9",121.440855143,31.1347751786,8843,2576.99858326,5
"10",121.451778571,31.1347751786,5288,2671.93250108,5
"11",121.462702,31.1347751786,2044,2100.04816744,5
"12",121.473625429,31.1347751786,3417,1322.12739453,5
"13",121.484548857,31.1347751786,3282,280.857153503,5
"14",121.495472286,31.1347751786,3946,723.487042385,5
"15",121.506395714,31.1347751786,2617,883.018290235,5
"16",121.517319143,31.1347751786,4862,1201.09796102,5
"17",121.528242571,31.1347751786,2869,1556.82666342,5
"18",121.539166,31.1347751786,2004,1882.00265667,5
"19",121.550089429,31.1347751786,1618,2172.46198739,5
"20",121.561012857,31.1347751786,2610,2485.07110762,5
"21",121.571936286,31.1347751786,1879,2758.17913832,5
"22",121.582859714,31.1347751786,1623,2765.04133106,5
"23",121.593783143,31.1347751786,1825,2832.64238468,5
"24",121.604706571,31.1347751786,1590,3251.50002063,5
"25",121.61563,31.1347751786,6655,3910.32249971,5
"26",121.626553429,31.1347751786,1178,4709.45557749,5
"27",121.637476857,31.1347751786,279,5589.03405528,5
"28",121.648400286,31.1347751786,848,6516.56439143,5
"29",121.353467714,31.1437715357,17468,1449.95331257,5
"30",121.364391143,31.1437715357,6701,1434.00529669,5
"31",121.375314571,31.1437715357,6238,1636.36805119,5
"32",121.386238,31.1437715357,8508,1858.88350145,5
"33",121.397161429,31.1437715357,9423,1040.33744264,5
"34",121.408084857,31.1437715357,14407,221.854780856,5
"35",121.419008286,31.1437715357,11200,552.548737982,5
"36",121.429931714,31.1437715357,12829,1267.08715527,5
"37",121.440855143,31.1437715357,8763,1626.84521,5
"38",121.451778571,31.1437715357,4639,1764.38824274,5
"39",121.462702,31.1437715357,2089,1437.21565787,5
"40",121.473625429,31.1437715357,3688,667.609342466,5
"41",121.484548857,31.1437715357,6939,32.970561268,5
"42",121.495472286,31.1437715357,9713,64.7602554617,5
"43",121.506395714,31.1437715357,7224,67.1329036194,5
"44",121.517319143,31.1437715357,7219,263.624632115,5
"45",121.528242571,31.1437715357,4332,615.281324705,5
"46",121.539166,31.1437715357,2247,931.665761837,5
"47",121.550089429,31.1437715357,1345,1210.92904997,5
"48",121.561012857,31.1437715357,1642,1544.48613,5
"49",121.571936286,31.1437715357,1871,1780.32944056,5
"50",121.582859714,31.1437715357,1028,1779.33934487,5
"51",121.593783143,31.1437715357,1377,1882.66356381,5
"52",121.604706571,31.1437715357,3895,2468.31339146,5
"53",121.61563,31.1437715357,5699,3287.93174978,5
"54",121.626553429,31.1437715357,1588,4206.92222734,5
"55",121.637476857,31.1437715357,811,5172.58825334,5
"56",121.648400286,31.1437715357,759,5786.26260067,5
"57",121.353467714,31.1527678929,16658,464.65353964,5
"58",121.364391143,31.1527678929,12071,444.728330777,5
"59",121.375314571,31.1527678929,12009,745.801287916,5
"60",121.386238,31.1527678929,12119,1514.02023358,5
"61",121.397161429,31.1527678929,9481,1658.51542808,5
"62",121.408084857,31.1527678929,9982,889.265984576,5
"63",121.419008286,31.1527678929,11683,166.59289955,5
"64",121.429931714,31.1527678929,10274,392.236854926,5
"65",121.440855143,31.1527678929,5253,678.465974604,5
"66",121.451778571,31.1527678929,5626,871.21773882,5
"67",121.462702,31.1527678929,403,468.058908711,5
"68",121.473625429,31.1527678929,1848,195.481502802,5
"69",121.484548857,31.1527678929,7492,227.010142246,5
"70",121.495472286,31.1527678929,11455,409.54522971,5
"71",121.506395714,31.1527678929,8692,347.260850224,5
"72",121.517319143,31.1527678929,7584,222.938641212,5
"73",121.528242571,31.1527678929,5254,335.027115943,5
"74",121.539166,31.1527678929,2166,27.6171956269,5
"75",121.550089429,31.1527678929,567,257.214705356,5
"76",121.561012857,31.1527678929,2003,596.996547807,5
"77",121.571936286,31.1527678929,2626,805.051777087,5
"78",121.582859714,31.1527678929,2159,807.81996684,5
"79",121.593783143,31.1527678929,864,1027.01690643,5
"80",121.604706571,31.1527678929,938,1898.07059596,5
"81",121.61563,31.1527678929,815,2884.46713059,5
"82",121.626553429,31.1527678929,748,3899.64095792,5
"83",121.637476857,31.1527678929,342,4925.8317917,5
"84",121.648400286,31.1527678929,242,5004.58802955,5
"85",121.353467714,31.16176425,8514,506.337213877,5
"86",121.364391143,31.16176425,12324,533.251684756,5
"87",121.375314571,31.16176425,16366,102.677997773,5
"88",121.386238,31.16176425,10339,594.157112726,5
"89",121.397161429,31.16176425,10652,967.064765704,5
"90",121.408084857,31.16176425,9489,1294.03139906,5
"91",121.419008286,31.16176425,11178,895.117269641,5
"92",121.429931714,31.16176425,7247,5.33916174706,5
"93",121.440855143,31.16176425,7320,149.103209653,5
"94",121.451778571,31.16176425,6055,409.05421712,5
"95",121.462702,31.16176425,269,485.510484545,5
"96",121.473625429,31.16176425,1540,714.702580973,5
"97",121.484548857,31.16176425,6074,314.532660981,5
"98",121.495472286,31.16176425,10646,379.800698071,5
