"","long","lat","freq","hour"
"1",121.353467714,31.1347751786,4129,5
"2",121.364391143,31.1347751786,6213,5
"3",121.375314571,31.1347751786,5699,5
"4",121.386238,31.1347751786,7401,5
"5",121.397161429,31.1347751786,6818,5
"6",121.408084857,31.1347751786,10403,5
"7",121.419008286,31.1347751786,14401,5
"8",121.429931714,31.1347751786,12083,5
"9",121.440855143,31.1347751786,8843,5
"10",121.451778571,31.1347751786,5288,5
"11",121.462702,31.1347751786,2044,5
"12",121.473625429,31.1347751786,3417,5
"13",121.484548857,31.1347751786,3282,5
"14",121.495472286,31.1347751786,3946,5
"15",121.506395714,31.1347751786,2617,5
"16",121.517319143,31.1347751786,4862,5
"17",121.528242571,31.1347751786,2869,5
"18",121.539166,31.1347751786,2004,5
"19",121.550089429,31.1347751786,1618,5
"20",121.561012857,31.1347751786,2610,5
"21",121.571936286,31.1347751786,1879,5
"22",121.582859714,31.1347751786,1623,5
"23",121.593783143,31.1347751786,1825,5
"24",121.604706571,31.1347751786,1590,5
"25",121.61563,31.1347751786,6655,5
"26",121.626553429,31.1347751786,1178,5
"27",121.637476857,31.1347751786,279,5
"28",121.648400286,31.1347751786,848,5
"29",121.353467714,31.1437715357,17468,5
"30",121.364391143,31.1437715357,6701,5
"31",121.375314571,31.1437715357,6238,5
"32",121.386238,31.1437715357,8508,5
"33",121.397161429,31.1437715357,9423,5
"34",121.408084857,31.1437715357,14407,5
"35",121.419008286,31.1437715357,11200,5
"36",121.429931714,31.1437715357,12829,5
"37",121.440855143,31.1437715357,8763,5
"38",121.451778571,31.1437715357,4639,5
"39",121.462702,31.1437715357,2089,5
"40",121.473625429,31.1437715357,3688,5
"41",121.484548857,31.1437715357,6939,5
"42",121.495472286,31.1437715357,9713,5
"43",121.506395714,31.1437715357,7224,5
"44",121.517319143,31.1437715357,7219,5
"45",121.528242571,31.1437715357,4332,5
"46",121.539166,31.1437715357,2247,5
"47",121.550089429,31.1437715357,1345,5
"48",121.561012857,31.1437715357,1642,5
"49",121.571936286,31.1437715357,1871,5
"50",121.582859714,31.1437715357,1028,5
"51",121.593783143,31.1437715357,1377,5
"52",121.604706571,31.1437715357,3895,5
"53",121.61563,31.1437715357,5699,5
"54",121.626553429,31.1437715357,1588,5
"55",121.637476857,31.1437715357,811,5
"56",121.648400286,31.1437715357,759,5
"57",121.353467714,31.1527678929,16658,5
"58",121.364391143,31.1527678929,12071,5
"59",121.375314571,31.1527678929,12009,5
"60",121.386238,31.1527678929,12119,5
"61",121.397161429,31.1527678929,9481,5
"62",121.408084857,31.1527678929,9982,5
"63",121.419008286,31.1527678929,11683,5
"64",121.429931714,31.1527678929,10274,5
"65",121.440855143,31.1527678929,5253,5
"66",121.451778571,31.1527678929,5626,5
"67",121.462702,31.1527678929,403,5
"68",121.473625429,31.1527678929,1848,5
"69",121.484548857,31.1527678929,7492,5
"70",121.495472286,31.1527678929,11455,5
"71",121.506395714,31.1527678929,8692,5
"72",121.517319143,31.1527678929,7584,5
"73",121.528242571,31.1527678929,5254,5
"74",121.539166,31.1527678929,2166,5
"75",121.550089429,31.1527678929,567,5
"76",121.561012857,31.1527678929,2003,5
"77",121.571936286,31.1527678929,2626,5
"78",121.582859714,31.1527678929,2159,5
"79",121.593783143,31.1527678929,864,5
"80",121.604706571,31.1527678929,938,5
"81",121.61563,31.1527678929,815,5
"82",121.626553429,31.1527678929,748,5
"83",121.637476857,31.1527678929,342,5
"84",121.648400286,31.1527678929,242,5
"85",121.353467714,31.16176425,8514,5
"86",121.364391143,31.16176425,12324,5
"87",121.375314571,31.16176425,16366,5
"88",121.386238,31.16176425,10339,5
"89",121.397161429,31.16176425,10652,5
"90",121.408084857,31.16176425,9489,5
"91",121.419008286,31.16176425,11178,5
"92",121.429931714,31.16176425,7247,5
"93",121.440855143,31.16176425,7320,5
"94",121.451778571,31.16176425,6055,5
"95",121.462702,31.16176425,269,5
"96",121.473625429,31.16176425,1540,5
"97",121.484548857,31.16176425,6074,5
"98",121.495472286,31.16176425,10646,5
"99",121.506395714,31.16176425,7087,5
"100",121.517319143,31.16176425,8942,5
"101",121.528242571,31.16176425,7151,5
"102",121.539166,31.16176425,1895,5
"103",121.550089429,31.16176425,2590,5
"104",121.561012857,31.16176425,3598,5
"105",121.571936286,31.16176425,4017,5
"106",121.582859714,31.16176425,753,5
"107",121.593783143,31.16176425,37,5
"108",121.604706571,31.16176425,268,5
"109",121.61563,31.16176425,323,5
"110",121.626553429,31.16176425,616,5
"111",121.637476857,31.16176425,809,5
"112",121.648400286,31.16176425,563,5
"113",121.353467714,31.1707606071,11739,5
"114",121.364391143,31.1707606071,9929,5
"115",121.375314571,31.1707606071,12209,5
"116",121.386238,31.1707606071,10217,5
"117",121.397161429,31.1707606071,2730,5
"118",121.408084857,31.1707606071,5186,5
"119",121.419008286,31.1707606071,13215,5
"120",121.429931714,31.1707606071,15404,5
"121",121.440855143,31.1707606071,11965,5
"122",121.451778571,31.1707606071,6333,5
"123",121.462702,31.1707606071,669,5
"124",121.473625429,31.1707606071,4965,5
"125",121.484548857,31.1707606071,13268,5
"126",121.495472286,31.1707606071,16243,5
"127",121.506395714,31.1707606071,6869,5
"128",121.517319143,31.1707606071,6968,5
"129",121.528242571,31.1707606071,6731,5
"130",121.539166,31.1707606071,4481,5
"131",121.550089429,31.1707606071,1430,5
"132",121.561012857,31.1707606071,1713,5
"133",121.571936286,31.1707606071,1218,5
"134",121.582859714,31.1707606071,748,5
"135",121.593783143,31.1707606071,377,5
"136",121.604706571,31.1707606071,271,5
"137",121.61563,31.1707606071,68,5
"138",121.626553429,31.1707606071,1190,5
"139",121.637476857,31.1707606071,825,5
"140",121.648400286,31.1707606071,475,5
"141",121.353467714,31.1797569643,18606,5
"142",121.364391143,31.1797569643,17614,5
"143",121.375314571,31.1797569643,6673,5
"144",121.386238,31.1797569643,11134,5
"145",121.397161429,31.1797569643,5736,5
"146",121.408084857,31.1797569643,6613,5
"147",121.419008286,31.1797569643,11826,5
"148",121.429931714,31.1797569643,7918,5
"149",121.440855143,31.1797569643,12141,5
"150",121.451778571,31.1797569643,5024,5
"151",121.462702,31.1797569643,523,5
"152",121.473625429,31.1797569643,3376,5
"153",121.484548857,31.1797569643,8757,5
"154",121.495472286,31.1797569643,14473,5
"155",121.506395714,31.1797569643,15086,5
"156",121.517319143,31.1797569643,9909,5
"157",121.528242571,31.1797569643,3758,5
"158",121.539166,31.1797569643,4198,5
"159",121.550089429,31.1797569643,4265,5
"160",121.561012857,31.1797569643,3368,5
"161",121.571936286,31.1797569643,771,5
"162",121.582859714,31.1797569643,434,5
"163",121.593783143,31.1797569643,371,5
"164",121.604706571,31.1797569643,441,5
"165",121.61563,31.1797569643,1457,5
"166",121.626553429,31.1797569643,3517,5
"167",121.637476857,31.1797569643,1634,5
"168",121.648400286,31.1797569643,510,5
"169",121.353467714,31.1887533214,3593,5
"170",121.364391143,31.1887533214,9217,5
"171",121.375314571,31.1887533214,9504,5
"172",121.386238,31.1887533214,6868,5
"173",121.397161429,31.1887533214,10082,5
"174",121.408084857,31.1887533214,10986,5
"175",121.419008286,31.1887533214,10005,5
"176",121.429931714,31.1887533214,12141,5
"177",121.440855143,31.1887533214,14966,5
"178",121.451778571,31.1887533214,11567,5
"179",121.462702,31.1887533214,1272,5
"180",121.473625429,31.1887533214,1005,5
"181",121.484548857,31.1887533214,475,5
"182",121.495472286,31.1887533214,3956,5
"183",121.506395714,31.1887533214,11348,5
"184",121.517319143,31.1887533214,7067,5
"185",121.528242571,31.1887533214,5955,5
"186",121.539166,31.1887533214,2547,5
"187",121.550089429,31.1887533214,5891,5
"188",121.561012857,31.1887533214,3888,5
"189",121.571936286,31.1887533214,2295,5
"190",121.582859714,31.1887533214,1139,5
"191",121.593783143,31.1887533214,1397,5
"192",121.604706571,31.1887533214,392,5
"193",121.61563,31.1887533214,550,5
"194",121.626553429,31.1887533214,2940,5
"195",121.637476857,31.1887533214,1523,5
"196",121.648400286,31.1887533214,1020,5
"197",121.353467714,31.1977496786,1824,5
"198",121.364391143,31.1977496786,4263,5
"199",121.375314571,31.1977496786,3002,5
"200",121.386238,31.1977496786,7034,5
"201",121.397161429,31.1977496786,6851,5
"202",121.408084857,31.1977496786,10367,5
"203",121.419008286,31.1977496786,14919,5
"204",121.429931714,31.1977496786,14030,5
"205",121.440855143,31.1977496786,12324,5
"206",121.451778571,31.1977496786,19003,5
"207",121.462702,31.1977496786,17608,5
"208",121.473625429,31.1977496786,12345,5
"209",121.484548857,31.1977496786,4822,5
"210",121.495472286,31.1977496786,1018,5
"211",121.506395714,31.1977496786,12527,5
"212",121.517319143,31.1977496786,8693,5
"213",121.528242571,31.1977496786,4490,5
"214",121.539166,31.1977496786,1970,5
"215",121.550089429,31.1977496786,4086,5
"216",121.561012857,31.1977496786,3057,5
"217",121.571936286,31.1977496786,2115,5
"218",121.582859714,31.1977496786,2055,5
"219",121.593783143,31.1977496786,2078,5
"220",121.604706571,31.1977496786,1300,5
"221",121.61563,31.1977496786,1638,5
"222",121.626553429,31.1977496786,4490,5
"223",121.637476857,31.1977496786,2396,5
"224",121.648400286,31.1977496786,666,5
"225",121.353467714,31.2067460357,6186,5
"226",121.364391143,31.2067460357,9339,5
"227",121.375314571,31.2067460357,7039,5
"228",121.386238,31.2067460357,14464,5
"229",121.397161429,31.2067460357,16599,5
"230",121.408084857,31.2067460357,13394,5
"231",121.419008286,31.2067460357,17545,5
"232",121.429931714,31.2067460357,13312,5
"233",121.440855143,31.2067460357,7658,5
"234",121.451778571,31.2067460357,13887,5
"235",121.462702,31.2067460357,18661,5
"236",121.473625429,31.2067460357,22890,5
