FID,freq,TARGET_FID,Id,Join_Cou_1,TARGET_F_1,Id_1,Field1,X,ID_12,longitude,latitude,datetime,hour,date,percentage,long,lat
0,78,0,0,1,0,0,12183,345106,78,121.355795000000000,31.139557000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.353467714000000,31.134775178600002
1,163,1,0,1,1,0,11537,287236,163,121.370282000000000,31.132610000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.364391143000010,31.134775178600002
2,194,2,0,1,2,0,11537,287236,194,121.370282000000000,31.132610000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.375314571000000,31.134775178600002
3,299,3,0,1,3,0,14883,357831,299,121.387350000000000,31.134781000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.386238000000010,31.134775178600002
4,461,4,0,1,4,0,2666,68156,461,121.395139000000000,31.139645000000002,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.397161428999990,31.134775178600002
5,479,5,0,1,5,0,32668,1012711,479,121.408589000000010,31.131771000000001,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.408084857000010,31.134775178600002
6,661,6,0,1,6,0,4097,119757,661,121.425279000000000,31.134443999999998,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.419008285999990,31.134775178600002
7,495,7,0,1,7,0,4097,119757,495,121.425279000000000,31.134443999999998,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.429931714000010,31.134775178600002
8,481,8,0,1,8,0,4031,77227,481,121.435539000000010,31.138551000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.440855142999990,31.134775178600002
9,266,9,0,1,9,0,33243,865766,266,121.450211999999990,31.133410999999999,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.451778571000010,31.134775178600002
10,105,10,0,1,10,0,33392,865915,105,121.469155000000000,31.132826999999999,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.462701999999990,31.134775178600002
11,70,11,0,1,11,0,23682,735795,70,121.471211000000000,31.132997000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.473625428999990,31.134775178600002
12,167,12,0,1,12,0,22741,722355,167,121.487279000000000,31.138947999999999,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.484548856999990,31.134775178600002
13,178,13,0,1,13,0,24046,694564,178,121.497808000000010,31.135127000000001,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.495472285999990,31.134775178600002
14,141,14,0,1,14,0,29040,766164,141,121.506697000000000,31.131208999999998,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.506395714000010,31.134775178600002
15,188,15,0,1,15,0,3116,91272,188,121.522551000000010,31.133606000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.517319142999990,31.134775178600002
16,54,16,0,1,16,0,3116,91272,54,121.522551000000010,31.133606000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.528242571000010,31.134775178600002
17,57,17,0,1,17,0,24047,694565,57,121.535083000000000,31.135790000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.539165999999990,31.134775178600002
18,27,18,0,1,18,0,34880,951848,27,121.550735000000000,31.131988000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.550089429000000,31.134775178600002
19,56,19,0,1,19,0,131271,363714,56,121.564559000000000,31.136613000000001,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.561012856999990,31.134775178600002
20,38,20,0,1,20,0,275491,741948,38,121.569851000000000,31.136438999999999,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.571936286000000,31.134775178600002
21,35,21,0,1,21,0,19832,654646,35,121.584630000000000,31.130524999999999,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.582859713999990,31.134775178600002
22,21,22,0,1,22,0,29523,786277,21,121.596003999999990,31.130960000000002,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.593783143000000,31.134775178600002
23,8,23,0,1,23,0,353401,927507,8,121.600599000000000,31.139028000000000,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.604706570999990,31.134775178600002
24,7,24,0,1,24,0,340502,930643,7,121.613732000000000,31.132698000000001,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.615630000000000,31.134775178600002
25,17,25,0,1,25,0,151592,426064,17,121.627561000000000,31.134353000000001,2014/3/3 0:00:00,5,2014/3/3 0:00:00,0.000000000000000,121.626553429000000,31.134775178600002
26,0,0,0,0,26,0,0,0, ,0.000000000000000,0.000000000000000,,0,,0.000000000000000,121.637476857000000,31.134775178600002
